id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
71,Morning Tide 71,Midnight Atlas,electropop,happy,0.85,128,0.92,0.88,0.10
72,Southern Letters 72,Crimson Bloom,hip hop,confident,0.75,106,0.63,0.83,0.19
73,Bright Voyage 73,Crimson Signal,r&b,romantic,0.61,102,0.71,0.72,0.40
74,Silent Signal 74,Crimson Wire,country,happy,0.56,114,0.73,0.56,0.71
75,Paper Tide 75,Velvet Transit,reggaeton,euphoric,0.91,104,0.80,0.94,0.10
76,Crimson Letters 76,Velvet Frame,pop,playful,0.87,134,0.86,0.89,0.19
77,Sapphire Voyage 77,Velvet Cloud,indie pop,nostalgic,0.67,128,0.80,0.73,0.32
78,Afterglow Signal 78,Electric Avenue,lofi,chill,0.34,66,0.62,0.56,0.87
79,Echoing Tide 79,Electric Lanterns,ambient,peaceful,0.25,52,0.67,0.39,0.97
80,Neon Letters 80,Urban Echo,rock,confident,0.87,138,0.60,0.63,0.07
81,Rapid Voyage 81,Urban Stereo,metal,intense,0.94,160,0.26,0.51,0.02
82,Cosmic Signal 82,Urban Quill,classical,focused,0.24,62,0.49,0.24,0.94
83,Electric Tide 83,Lunar Pulse,jazz,romantic,0.47,94,0.67,0.59,0.75
84,Midnight Letters 84,Lunar Circuit,folk,peaceful,0.45,92,0.70,0.45,0.87
85,Northern Voyage 85,Lunar Orchid,synthwave,moody,0.78,114,0.52,0.72,0.20
86,Hollow Signal 86,Solar Parade,electropop,euphoric,0.89,132,0.89,0.89,0.15
87,Golden Tide 87,Solar Collective,hip hop,focused,0.79,110,0.69,0.84,0.24
88,Velvet Letters 88,Solar Harbor,r&b,happy,0.54,106,0.77,0.73,0.45
89,Urban Voyage 89,North District,country,peaceful,0.49,118,0.79,0.57,0.76
90,Lunar Signal 90,North Ensemble,reggaeton,playful,0.84,108,0.77,0.95,0.05
91,Morning Tide 91,North Atlas,pop,happy,0.80,112,0.83,0.83,0.14
92,Southern Letters 92,South Bloom,indie pop,romantic,0.71,106,0.77,0.74,0.27
93,Bright Voyage 93,South Signal,lofi,focused,0.38,70,0.59,0.57,0.82
94,Silent Signal 94,South Wire,ambient,chill,0.29,56,0.64,0.40,0.92
95,Paper Tide 95,East Transit,rock,moody,0.91,142,0.57,0.64,0.12
96,Crimson Letters 96,East Frame,metal,angry,0.98,164,0.32,0.52,0.07
97,Sapphire Voyage 97,East Cloud,classical,peaceful,0.28,66,0.55,0.25,0.98
98,Afterglow Signal 98,West Avenue,jazz,moody,0.51,98,0.73,0.53,0.80
99,Echoing Tide 99,West Lanterns,folk,romantic,0.38,96,0.67,0.46,0.92
100,Neon Letters 100,Paper Echo,synthwave,focused,0.71,118,0.49,0.73,0.15
101,Rapid Voyage 101,Paper Stereo,electropop,happy,0.82,136,0.86,0.90,0.10
102,Cosmic Signal 102,Paper Quill,hip hop,confident,0.72,114,0.66,0.85,0.19
103,Electric Tide 103,Glass Pulse,r&b,romantic,0.58,110,0.74,0.74,0.40
104,Midnight Letters 104,Glass Circuit,country,happy,0.53,96,0.76,0.58,0.71
105,Northern Voyage 105,Glass Orchid,reggaeton,euphoric,0.88,86,0.83,0.89,0.10
106,Hollow Signal 106,Quiet Parade,pop,playful,0.84,116,0.89,0.84,0.19
107,Golden Tide 107,Quiet Collective,indie pop,nostalgic,0.75,110,0.83,0.75,0.32
108,Velvet Letters 108,Quiet Harbor,lofi,chill,0.42,74,0.56,0.58,0.87
109,Urban Voyage 109,Rapid District,ambient,peaceful,0.33,60,0.61,0.41,0.97
110,Lunar Signal 110,Rapid Ensemble,rock,confident,0.84,146,0.54,0.65,0.07
111,Morning Tide 111,Rapid Atlas,metal,intense,0.91,168,0.29,0.53,0.02
112,Southern Letters 112,Delta Bloom,classical,focused,0.21,70,0.52,0.19,0.94
113,Bright Voyage 113,Delta Signal,jazz,romantic,0.44,102,0.70,0.54,0.75
114,Silent Signal 114,Delta Wire,folk,peaceful,0.42,100,0.73,0.47,0.87
115,Paper Tide 115,Neon Transit,synthwave,moody,0.75,122,0.55,0.74,0.20
116,Crimson Letters 116,Neon Frame,electropop,euphoric,0.86,140,0.92,0.91,0.15
117,Sapphire Voyage 117,Neon Cloud,hip hop,focused,0.76,92,0.63,0.86,0.24
118,Afterglow Signal 118,Silver Avenue,r&b,happy,0.62,88,0.71,0.75,0.45
119,Echoing Tide 119,Silver Lanterns,country,peaceful,0.57,100,0.73,0.52,0.76
120,Neon Letters 120,Golden Echo,reggaeton,playful,0.92,90,0.80,0.90,0.05
121,Rapid Voyage 121,Golden Stereo,pop,happy,0.77,120,0.86,0.85,0.14
122,Cosmic Signal 122,Golden Quill,indie pop,romantic,0.68,114,0.80,0.76,0.27
123,Electric Tide 123,Blue Pulse,lofi,focused,0.35,78,0.62,0.59,0.82
124,Midnight Letters 124,Blue Circuit,ambient,chill,0.26,64,0.67,0.42,0.92
125,Northern Voyage 125,Blue Orchid,rock,moody,0.88,150,0.60,0.66,0.12
126,Hollow Signal 126,Midnight Parade,metal,angry,0.95,172,0.26,0.47,0.07
127,Golden Tide 127,Midnight Collective,classical,peaceful,0.25,74,0.49,0.20,0.98
128,Velvet Letters 128,Midnight Harbor,jazz,moody,0.48,106,0.67,0.55,0.80
129,Urban Voyage 129,Crimson District,folk,romantic,0.46,104,0.70,0.48,0.92
130,Lunar Signal 130,Crimson Ensemble,synthwave,focused,0.79,100,0.52,0.75,0.15
131,Morning Tide 131,Crimson Atlas,electropop,happy,0.90,118,0.89,0.92,0.10
132,Southern Letters 132,Velvet Bloom,hip hop,confident,0.69,96,0.69,0.87,0.19
133,Bright Voyage 133,Velvet Signal,r&b,romantic,0.55,92,0.77,0.69,0.40
134,Silent Signal 134,Velvet Wire,country,happy,0.50,104,0.79,0.53,0.71
135,Paper Tide 135,Electric Transit,reggaeton,euphoric,0.85,94,0.77,0.91,0.10
136,Crimson Letters 136,Electric Frame,pop,playful,0.81,124,0.83,0.86,0.19
137,Sapphire Voyage 137,Electric Cloud,indie pop,nostalgic,0.72,118,0.77,0.77,0.32
138,Afterglow Signal 138,Urban Avenue,lofi,chill,0.39,82,0.59,0.60,0.87
139,Echoing Tide 139,Urban Lanterns,ambient,peaceful,0.30,68,0.64,0.43,0.97
140,Neon Letters 140,Lunar Echo,rock,confident,0.92,154,0.57,0.60,0.07
141,Rapid Voyage 141,Lunar Stereo,metal,intense,0.99,176,0.32,0.48,0.02
142,Cosmic Signal 142,Lunar Quill,classical,focused,0.29,78,0.55,0.21,0.94
143,Electric Tide 143,Solar Pulse,jazz,romantic,0.41,84,0.73,0.56,0.75
144,Midnight Letters 144,Solar Circuit,folk,peaceful,0.39,82,0.67,0.49,0.87
145,Northern Voyage 145,Solar Orchid,synthwave,moody,0.72,104,0.49,0.76,0.20
146,Hollow Signal 146,North Parade,electropop,euphoric,0.83,122,0.86,0.93,0.15
147,Golden Tide 147,North Collective,hip hop,focused,0.73,100,0.66,0.81,0.24
148,Velvet Letters 148,North Harbor,r&b,happy,0.59,96,0.74,0.70,0.45
149,Urban Voyage 149,South District,country,peaceful,0.54,108,0.76,0.54,0.76
150,Lunar Signal 150,South Ensemble,reggaeton,playful,0.89,98,0.83,0.92,0.05
151,Morning Tide 151,South Atlas,pop,happy,0.85,128,0.89,0.87,0.14
152,Southern Letters 152,East Bloom,indie pop,romantic,0.76,122,0.83,0.78,0.27
153,Bright Voyage 153,East Signal,lofi,focused,0.43,86,0.56,0.61,0.82
154,Silent Signal 154,East Wire,ambient,chill,0.23,72,0.61,0.37,0.92
155,Paper Tide 155,West Transit,rock,moody,0.85,158,0.54,0.61,0.12
156,Crimson Letters 156,West Frame,metal,angry,0.92,154,0.29,0.49,0.07
157,Sapphire Voyage 157,West Cloud,classical,peaceful,0.22,56,0.52,0.22,0.98
158,Afterglow Signal 158,Paper Avenue,jazz,moody,0.45,88,0.70,0.57,0.80
159,Echoing Tide 159,Paper Lanterns,folk,romantic,0.43,86,0.73,0.50,0.92
160,Neon Letters 160,Glass Echo,synthwave,focused,0.76,108,0.55,0.77,0.15
161,Rapid Voyage 161,Glass Stereo,electropop,happy,0.87,126,0.92,0.87,0.10
162,Cosmic Signal 162,Glass Quill,hip hop,confident,0.77,104,0.63,0.82,0.19
163,Electric Tide 163,Quiet Pulse,r&b,romantic,0.63,100,0.71,0.71,0.40
164,Midnight Letters 164,Quiet Circuit,country,happy,0.58,112,0.73,0.55,0.71
165,Northern Voyage 165,Quiet Orchid,reggaeton,euphoric,0.82,102,0.80,0.93,0.10
166,Hollow Signal 166,Rapid Parade,pop,playful,0.78,132,0.86,0.88,0.19
167,Golden Tide 167,Rapid Collective,indie pop,nostalgic,0.69,126,0.80,0.79,0.32
168,Velvet Letters 168,Rapid Harbor,lofi,chill,0.36,90,0.62,0.55,0.87
169,Urban Voyage 169,Delta District,ambient,peaceful,0.27,50,0.67,0.38,0.97
170,Lunar Signal 170,Delta Ensemble,rock,confident,0.89,136,0.60,0.62,0.07
171,Morning Tide 171,Delta Atlas,metal,intense,0.96,158,0.26,0.50,0.02
172,Southern Letters 172,Neon Bloom,classical,focused,0.26,60,0.49,0.23,0.94
173,Bright Voyage 173,Neon Signal,jazz,romantic,0.49,92,0.67,0.58,0.75
174,Silent Signal 174,Neon Wire,folk,peaceful,0.47,90,0.70,0.51,0.87
175,Paper Tide 175,Silver Transit,synthwave,moody,0.80,112,0.52,0.71,0.20
176,Crimson Letters 176,Silver Frame,electropop,euphoric,0.80,130,0.89,0.88,0.15
177,Sapphire Voyage 177,Silver Cloud,hip hop,focused,0.70,108,0.69,0.83,0.24
178,Afterglow Signal 178,Golden Avenue,r&b,happy,0.56,104,0.77,0.72,0.45
179,Echoing Tide 179,Golden Lanterns,country,peaceful,0.51,116,0.79,0.56,0.76
180,Neon Letters 180,Blue Echo,reggaeton,playful,0.86,106,0.77,0.94,0.05
181,Rapid Voyage 181,Blue Stereo,pop,happy,0.82,136,0.83,0.89,0.14
182,Cosmic Signal 182,Blue Quill,indie pop,romantic,0.73,104,0.77,0.73,0.27
183,Electric Tide 183,Midnight Pulse,lofi,focused,0.40,68,0.59,0.56,0.82
184,Midnight Letters 184,Midnight Circuit,ambient,chill,0.31,54,0.64,0.39,0.92
185,Northern Voyage 185,Midnight Orchid,rock,moody,0.93,140,0.57,0.63,0.12
186,Hollow Signal 186,Crimson Parade,metal,angry,0.99,162,0.32,0.51,0.07
187,Golden Tide 187,Crimson Collective,classical,peaceful,0.19,64,0.55,0.24,0.98
188,Velvet Letters 188,Crimson Harbor,jazz,moody,0.42,96,0.73,0.59,0.80
189,Urban Voyage 189,Velvet District,folk,romantic,0.40,94,0.67,0.45,0.92
190,Lunar Signal 190,Velvet Ensemble,synthwave,focused,0.73,116,0.49,0.72,0.15
191,Morning Tide 191,Velvet Atlas,electropop,happy,0.84,134,0.86,0.89,0.10
192,Southern Letters 192,Electric Bloom,hip hop,confident,0.74,112,0.66,0.84,0.19
193,Bright Voyage 193,Electric Signal,r&b,romantic,0.60,108,0.74,0.73,0.40
194,Silent Signal 194,Electric Wire,country,happy,0.55,120,0.76,0.57,0.71
195,Paper Tide 195,Urban Transit,reggaeton,euphoric,0.90,84,0.83,0.95,0.10
196,Crimson Letters 196,Urban Frame,pop,playful,0.86,114,0.89,0.83,0.19
197,Sapphire Voyage 197,Urban Cloud,indie pop,nostalgic,0.77,108,0.83,0.74,0.32
198,Afterglow Signal 198,Lunar Avenue,lofi,chill,0.33,72,0.56,0.57,0.87
199,Echoing Tide 199,Lunar Lanterns,ambient,peaceful,0.24,58,0.61,0.40,0.97
200,Neon Letters 200,Solar Echo,rock,confident,0.86,144,0.54,0.64,0.07
201,Rapid Voyage 201,Solar Stereo,metal,intense,0.93,166,0.29,0.52,0.02
202,Cosmic Signal 202,Solar Quill,classical,focused,0.23,68,0.52,0.25,0.94
203,Electric Tide 203,North Pulse,jazz,romantic,0.46,100,0.70,0.53,0.75
204,Midnight Letters 204,North Circuit,folk,peaceful,0.44,98,0.73,0.46,0.87
205,Northern Voyage 205,North Orchid,synthwave,moody,0.77,120,0.55,0.73,0.20
206,Hollow Signal 206,South Parade,electropop,euphoric,0.88,138,0.92,0.90,0.15
207,Golden Tide 207,South Collective,hip hop,focused,0.78,116,0.63,0.85,0.24
208,Velvet Letters 208,South Harbor,r&b,happy,0.64,86,0.71,0.74,0.45
209,Urban Voyage 209,East District,country,peaceful,0.48,98,0.73,0.58,0.76
210,Lunar Signal 210,East Ensemble,reggaeton,playful,0.83,88,0.80,0.89,0.05
211,Morning Tide 211,East Atlas,pop,happy,0.79,118,0.86,0.84,0.14
212,Southern Letters 212,West Bloom,indie pop,romantic,0.70,112,0.80,0.75,0.27
213,Bright Voyage 213,West Signal,lofi,focused,0.37,76,0.62,0.58,0.82
214,Silent Signal 214,West Wire,ambient,chill,0.28,62,0.67,0.41,0.92
215,Paper Tide 215,Paper Transit,rock,moody,0.90,148,0.60,0.65,0.12
216,Crimson Letters 216,Paper Frame,metal,angry,0.97,170,0.26,0.53,0.07
217,Sapphire Voyage 217,Paper Cloud,classical,peaceful,0.27,72,0.49,0.19,0.98
218,Afterglow Signal 218,Glass Avenue,jazz,moody,0.50,104,0.67,0.54,0.80
219,Echoing Tide 219,Glass Lanterns,folk,romantic,0.48,102,0.70,0.47,0.92
220,Neon Letters 220,Quiet Echo,synthwave,focused,0.70,124,0.52,0.74,0.15
221,Rapid Voyage 221,Quiet Stereo,electropop,happy,0.81,116,0.89,0.91,0.10
222,Cosmic Signal 222,Quiet Quill,hip hop,confident,0.71,94,0.69,0.86,0.19
223,Electric Tide 223,Rapid Pulse,r&b,romantic,0.57,90,0.77,0.75,0.40
224,Midnight Letters 224,Rapid Circuit,country,happy,0.52,102,0.79,0.52,0.71
225,Northern Voyage 225,Rapid Orchid,reggaeton,euphoric,0.87,92,0.77,0.90,0.10
226,Hollow Signal 226,Delta Parade,pop,playful,0.83,122,0.83,0.85,0.19
227,Golden Tide 227,Delta Collective,indie pop,nostalgic,0.74,116,0.77,0.76,0.32
228,Velvet Letters 228,Delta Harbor,lofi,chill,0.41,80,0.59,0.59,0.87
229,Urban Voyage 229,Neon District,ambient,peaceful,0.32,66,0.64,0.42,0.97
230,Lunar Signal 230,Neon Ensemble,rock,confident,0.94,152,0.57,0.66,0.07
231,Morning Tide 231,Neon Atlas,metal,intense,0.90,174,0.32,0.47,0.02
232,Southern Letters 232,Silver Bloom,classical,focused,0.20,76,0.55,0.20,0.94
233,Bright Voyage 233,Silver Signal,jazz,romantic,0.43,108,0.73,0.55,0.75
234,Silent Signal 234,Silver Wire,folk,peaceful,0.41,80,0.67,0.48,0.87
235,Paper Tide 235,Golden Transit,synthwave,moody,0.74,102,0.49,0.75,0.20
236,Crimson Letters 236,Golden Frame,electropop,euphoric,0.85,120,0.86,0.92,0.15
237,Sapphire Voyage 237,Golden Cloud,hip hop,focused,0.75,98,0.66,0.87,0.24
238,Afterglow Signal 238,Blue Avenue,r&b,happy,0.61,94,0.74,0.69,0.45
239,Echoing Tide 239,Blue Lanterns,country,peaceful,0.56,106,0.76,0.53,0.76
240,Neon Letters 240,Midnight Echo,reggaeton,playful,0.91,96,0.83,0.91,0.05
241,Rapid Voyage 241,Midnight Stereo,pop,happy,0.87,126,0.89,0.86,0.14
242,Cosmic Signal 242,Midnight Quill,indie pop,romantic,0.67,120,0.83,0.77,0.27
243,Electric Tide 243,Crimson Pulse,lofi,focused,0.34,84,0.56,0.60,0.82
244,Midnight Letters 244,Crimson Circuit,ambient,chill,0.25,70,0.61,0.43,0.92
245,Northern Voyage 245,Crimson Orchid,rock,moody,0.87,156,0.54,0.60,0.12
246,Hollow Signal 246,Velvet Parade,metal,angry,0.94,178,0.29,0.48,0.07
247,Golden Tide 247,Velvet Collective,classical,peaceful,0.24,54,0.52,0.21,0.98
248,Velvet Letters 248,Velvet Harbor,jazz,moody,0.47,86,0.70,0.56,0.80
249,Urban Voyage 249,Electric District,folk,romantic,0.45,84,0.73,0.49,0.92
250,Lunar Signal 250,Electric Ensemble,synthwave,focused,0.78,106,0.55,0.76,0.15
251,Morning Tide 251,Electric Atlas,electropop,happy,0.89,124,0.92,0.93,0.10
252,Southern Letters 252,Urban Bloom,hip hop,confident,0.79,102,0.63,0.81,0.19
253,Bright Voyage 253,Urban Signal,r&b,romantic,0.54,98,0.71,0.70,0.40
254,Silent Signal 254,Urban Wire,country,happy,0.49,110,0.73,0.54,0.71
255,Paper Tide 255,Lunar Transit,reggaeton,euphoric,0.84,100,0.80,0.92,0.10
256,Crimson Letters 256,Lunar Frame,pop,playful,0.80,130,0.86,0.87,0.19
257,Sapphire Voyage 257,Lunar Cloud,indie pop,nostalgic,0.71,124,0.80,0.78,0.32
258,Afterglow Signal 258,Solar Avenue,lofi,chill,0.38,88,0.62,0.61,0.87
259,Echoing Tide 259,Solar Lanterns,ambient,peaceful,0.29,74,0.67,0.37,0.97
260,Neon Letters 260,North Echo,rock,confident,0.91,134,0.60,0.61,0.07
261,Rapid Voyage 261,North Stereo,metal,intense,0.98,156,0.26,0.49,0.02
262,Cosmic Signal 262,North Quill,classical,focused,0.28,58,0.49,0.22,0.94
263,Electric Tide 263,South Pulse,jazz,romantic,0.51,90,0.67,0.57,0.75
264,Midnight Letters 264,South Circuit,folk,peaceful,0.38,88,0.70,0.50,0.87
265,Northern Voyage 265,South Orchid,synthwave,moody,0.71,110,0.52,0.77,0.20
266,Hollow Signal 266,East Parade,electropop,euphoric,0.82,128,0.89,0.87,0.15
267,Golden Tide 267,East Collective,hip hop,focused,0.72,106,0.69,0.82,0.24
268,Velvet Letters 268,East Harbor,r&b,happy,0.58,102,0.77,0.71,0.45
269,Urban Voyage 269,West District,country,peaceful,0.53,114,0.79,0.55,0.76
270,Lunar Signal 270,West Ensemble,reggaeton,playful,0.88,104,0.77,0.93,0.05
271,Morning Tide 271,West Atlas,pop,happy,0.84,134,0.83,0.88,0.14
272,Southern Letters 272,Paper Bloom,indie pop,romantic,0.75,128,0.77,0.79,0.27
273,Bright Voyage 273,Paper Signal,lofi,focused,0.42,66,0.59,0.55,0.82
274,Silent Signal 274,Paper Wire,ambient,chill,0.33,52,0.64,0.38,0.92
275,Paper Tide 275,Glass Transit,rock,moody,0.84,138,0.57,0.62,0.12
276,Crimson Letters 276,Glass Frame,metal,angry,0.91,160,0.32,0.50,0.07
277,Sapphire Voyage 277,Glass Cloud,classical,peaceful,0.21,62,0.55,0.23,0.98
278,Afterglow Signal 278,Quiet Avenue,jazz,moody,0.44,94,0.73,0.58,0.80
279,Echoing Tide 279,Quiet Lanterns,folk,romantic,0.42,92,0.67,0.51,0.92
280,Neon Letters 280,Rapid Echo,synthwave,focused,0.75,114,0.49,0.71,0.15
281,Rapid Voyage 281,Rapid Stereo,electropop,happy,0.86,132,0.86,0.88,0.10
282,Cosmic Signal 282,Rapid Quill,hip hop,confident,0.76,110,0.66,0.83,0.19
283,Electric Tide 283,Delta Pulse,r&b,romantic,0.62,106,0.74,0.72,0.40
284,Midnight Letters 284,Delta Circuit,country,happy,0.57,118,0.76,0.56,0.71
285,Northern Voyage 285,Delta Orchid,reggaeton,euphoric,0.92,108,0.83,0.94,0.10
286,Hollow Signal 286,Neon Parade,pop,playful,0.77,112,0.89,0.89,0.19
287,Golden Tide 287,Neon Collective,indie pop,nostalgic,0.68,106,0.83,0.73,0.32
288,Velvet Letters 288,Neon Harbor,lofi,chill,0.35,70,0.56,0.56,0.87
289,Urban Voyage 289,Silver District,ambient,peaceful,0.26,56,0.61,0.39,0.97
290,Lunar Signal 290,Silver Ensemble,rock,confident,0.88,142,0.54,0.63,0.07
291,Morning Tide 291,Silver Atlas,metal,intense,0.95,164,0.29,0.51,0.02
292,Southern Letters 292,Golden Bloom,classical,focused,0.25,66,0.52,0.24,0.94
293,Bright Voyage 293,Golden Signal,jazz,romantic,0.48,98,0.70,0.59,0.75
294,Silent Signal 294,Golden Wire,folk,peaceful,0.46,96,0.73,0.45,0.87
295,Paper Tide 295,Blue Transit,synthwave,moody,0.79,118,0.55,0.72,0.20
296,Crimson Letters 296,Blue Frame,electropop,euphoric,0.90,136,0.92,0.89,0.15
297,Sapphire Voyage 297,Blue Cloud,hip hop,focused,0.69,114,0.63,0.84,0.24
298,Afterglow Signal 298,Midnight Avenue,r&b,happy,0.55,110,0.71,0.73,0.45
299,Echoing Tide 299,Midnight Lanterns,country,peaceful,0.50,96,0.73,0.57,0.76
300,Neon Letters 300,Crimson Echo,reggaeton,playful,0.85,86,0.80,0.95,0.05
301,Rapid Voyage 301,Crimson Stereo,pop,happy,0.81,116,0.86,0.83,0.14
302,Cosmic Signal 302,Crimson Quill,indie pop,romantic,0.72,110,0.80,0.74,0.27
303,Electric Tide 303,Velvet Pulse,lofi,focused,0.39,74,0.62,0.57,0.82
304,Midnight Letters 304,Velvet Circuit,ambient,chill,0.30,60,0.67,0.40,0.92
305,Northern Voyage 305,Velvet Orchid,rock,moody,0.92,146,0.60,0.64,0.12
306,Hollow Signal 306,Electric Parade,metal,angry,0.99,168,0.26,0.52,0.07
307,Golden Tide 307,Electric Collective,classical,peaceful,0.29,70,0.49,0.25,0.98
308,Velvet Letters 308,Electric Harbor,jazz,moody,0.41,102,0.67,0.53,0.80
309,Urban Voyage 309,Urban District,folk,romantic,0.39,100,0.70,0.46,0.92
310,Lunar Signal 310,Urban Ensemble,synthwave,focused,0.72,122,0.52,0.73,0.15
